Year,GrandPrix,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Position
2025,Australian Grand Prix,TSU,Racing Bulls,6.0,4.0,INTERMEDIATE,6.0,139.381,45.567,33.684,60.13,118.0,264.0,231.0,149.0,4,True,15.9,19.0,76.0,False,3.3,6.0
2025,Australian Grand Prix,ALB,Williams,6.0,4.0,INTERMEDIATE,4.0,139.612,44.267,34.013,61.332,148.0,267.0,226.0,213.0,4,True,15.9,19.0,76.0,False,3.3,7.0
2025,Australian Grand Prix,HAM,Ferrari,6.0,4.0,INTERMEDIATE,6.0,140.418,43.91,34.755,61.753,118.0,246.0,213.0,196.0,4,True,15.9,19.0,76.0,False,3.3,8.0
2025,Australian Grand Prix,GAS,Alpine,6.0,4.0,INTERMEDIATE,6.0,139.952,43.258,34.952,61.742,106.0,250.0,217.0,222.0,4,True,15.9,19.0,76.0,False,3.3,9.0
2025,Australian Grand Prix,ALO,Aston Martin,6.0,4.0,INTERMEDIATE,6.0,139.493,42.673,35.332,61.488,109.0,258.0,202.0,185.0,4,True,15.9,19.0,76.0,False,3.3,10.0
2025,Australian Grand Prix,STR,Aston Martin,6.0,4.0,INTERMEDIATE,2.0,140.973,42.942,35.542,62.489,161.0,247.0,200.0,199.0,4,True,15.9,19.0,76.0,False,3.3,11.0
2025,Australian Grand Prix,HUL,Kick Sauber,6.0,4.0,INTERMEDIATE,6.0,141.111,42.669,35.545,62.897,181.0,243.0,194.0,202.0,4,True,15.9,19.0,76.0,False,3.3,12.0
2025,Australian Grand Prix,ANT,Mercedes,6.0,4.0,INTERMEDIATE,6.0,141.111,42.289,35.787,63.035,169.0,234.0,232.0,201.0,4,True,15.9,19.0,76.0,False,3.3,13.0
2025,Australian Grand Prix,BOR,Kick Sauber,6.0,4.0,INTERMEDIATE,6.0,140.976,41.946,35.519,63.511,180.0,205.0,214.0,177.0,4,True,15.9,19.0,76.0,False,3.3,14.0
2025,Australian Grand Prix,OCO,Haas F1 Team,6.0,4.0,INTERMEDIATE,2.0,140.986,41.743,35.534,63.709,156.0,174.0,215.0,163.0,4,True,15.9,19.0,76.0,False,3.3,15.0
2025,Australian Grand Prix,LAW,Red Bull Racing,6.0,4.0,INTERMEDIATE,5.0,141.609,41.25,36.661,63.698,192.0,198.0,204.0,185.0,4,True,15.9,19.0,76.0,False,3.3,16.0
2025,Australian Grand Prix,BEA,Haas F1 Team,6.0,4.0,INTERMEDIATE,2.0,142.075,41.852,35.99,64.233,174.0,204.0,170.0,161.0,4,True,15.9,19.0,76.0,False,3.3,17.0
2025,Australian Grand Prix,NOR,McLaren,7.0,4.0,INTERMEDIATE,7.0,137.108,46.009,30.022,61.077,146.0,147.0,274.0,218.0,41,True,15.9,19.1,75.0,False,4.5,1.0
2025,Australian Grand Prix,VER,Red Bull Racing,7.0,4.0,INTERMEDIATE,7.0,136.447,45.898,29.735,60.814,174.0,197.0,277.0,208.0,41,True,15.9,19.1,75.0,False,4.5,2.0
2025,Australian Grand Prix,PIA,McLaren,7.0,4.0,INTERMEDIATE,7.0,135.569,45.77,30.859,58.94,132.0,221.0,277.0,231.0,41,True,15.9,19.1,75.0,False,4.5,3.0
2025,Australian Grand Prix,RUS,Mercedes,7.0,4.0,INTERMEDIATE,7.0,134.684,45.565,31.759,57.36,155.0,207.0,276.0,234.0,41,True,15.9,19.1,75.0,False,4.5,4.0
2025,Australian Grand Prix,LEC,Ferrari,7.0,4.0,INTERMEDIATE,7.0,133.209,45.283,30.724,57.202,213.0,185.0,277.0,230.0,41,True,15.9,19.1,75.0,False,4.5,5.0
2025,Australian Grand Prix,TSU,Racing Bulls,7.0,4.0,INTERMEDIATE,7.0,131.451,45.02,30.751,55.68,214.0,103.0,276.0,214.0,41,True,15.9,19.1,75.0,False,4.5,6.0
2025,Australian Grand Prix,ALB,Williams,7.0,4.0,INTERMEDIATE,5.0,129.065,43.84,29.976,55.249,168.0,169.0,278.0,229.0,41,True,15.9,19.1,75.0,False,4.5,7.0
2025,Australian Grand Prix,HAM,Ferrari,7.0,4.0,INTERMEDIATE,7.0,127.498,42.591,30.377,54.53,127.0,166.0,277.0,212.0,41,True,15.9,19.1,75.0,False,4.5,8.0
2025,Australian Grand Prix,GAS,Alpine,7.0,4.0,INTERMEDIATE,7.0,126.733,42.713,29.764,54.256,202.0,210.0,275.0,223.0,41,True,15.9,19.1,75.0,False,4.5,9.0
2025,Australian Grand Prix,ALO,Aston Martin,7.0,4.0,INTERMEDIATE,7.0,125.594,42.237,31.103,52.254,214.0,273.0,274.0,203.0,41,True,15.9,19.1,75.0,False,4.5,10.0
2025,Australian Grand Prix,STR,Aston Martin,7.0,4.0,INTERMEDIATE,3.0,124.687,40.835,31.17,52.682,195.0,259.0,273.0,213.0,41,True,15.9,19.1,75.0,False,4.5,11.0
2025,Australian Grand Prix,HUL,Kick Sauber,7.0,4.0,INTERMEDIATE,7.0,124.116,41.833,30.29,51.993,180.0,259.0,278.0,202.0,41,True,15.9,19.1,75.0,False,4.5,12.0
2025,Australian Grand Prix,ANT,Mercedes,7.0,4.0,INTERMEDIATE,7.0,123.412,41.182,30.645,51.585,193.0,266.0,277.0,204.0,41,True,15.9,19.1,75.0,False,4.5,13.0
2025,Australian Grand Prix,BOR,Kick Sauber,7.0,4.0,INTERMEDIATE,7.0,123.467,41.213,30.785,51.469,159.0,243.0,274.0,203.0,41,True,15.9,19.1,75.0,False,4.5,14.0
2025,Australian Grand Prix,OCO,Haas F1 Team,7.0,4.0,INTERMEDIATE,3.0,123.018,40.716,30.837,51.465,172.0,250.0,275.0,191.0,41,True,15.9,19.1,75.0,False,4.5,15.0
2025,Australian Grand Prix,LAW,Red Bull Racing,7.0,4.0,INTERMEDIATE,6.0,122.216,40.083,30.379,51.754,162.0,274.0,273.0,196.0,41,True,15.9,19.1,75.0,False,4.5,16.0
2025,Australian Grand Prix,BEA,Haas F1 Team,7.0,4.0,INTERMEDIATE,3.0,122.192,40.31,30.271,51.611,171.0,258.0,273.0,154.0,41,True,15.9,19.1,75.0,False,4.5,17.0
2025,Australian Grand Prix,NOR,McLaren,8.0,4.0,INTERMEDIATE,8.0,96.278,34.845,20.542,40.891,252.0,289.0,277.0,276.0,1,True,15.9,19.1,74.0,False,3.4,1.0
2025,Australian Grand Prix,VER,Red Bull Racing,8.0,4.0,INTERMEDIATE,8.0,96.83,35.249,20.145,41.436,257.0,297.0,278.0,245.0,1,True,15.9,19.1,74.0,False,3.4,2.0
2025,Australian Grand Prix,PIA,McLaren,8.0,4.0,INTERMEDIATE,8.0,97.251,35.144,20.025,42.082,256.0,301.0,279.0,257.0,1,True,15.9,19.1,74.0,False,3.4,3.0
2025,Australian Grand Prix,RUS,Mercedes,8.0,4.0,INTERMEDIATE,8.0,97.824,35.549,20.248,42.027,256.0,303.0,280.0,251.0,1,True,15.9,19.1,74.0,False,3.4,4.0
2025,Australian Grand Prix,LEC,Ferrari,8.0,4.0,INTERMEDIATE,8.0,98.19,35.371,20.374,42.445,252.0,297.0,278.0,243.0,1,True,15.9,19.1,74.0,False,3.4,5.0
2025,Australian Grand Prix,TSU,Racing Bulls,8.0,4.0,INTERMEDIATE,8.0,98.464,35.395,20.314,42.755,256.0,306.0,277.0,227.0,1,True,15.9,19.1,74.0,False,3.4,6.0
2025,Australian Grand Prix,ALB,Williams,8.0,4.0,INTERMEDIATE,6.0,98.281,35.515,20.233,42.533,250.0,308.0,285.0,229.0,1,True,15.9,19.1,74.0,False,3.4,7.0
2025,Australian Grand Prix,HAM,Ferrari,8.0,4.0,INTERMEDIATE,8.0,98.311,35.572,20.255,42.484,249.0,301.0,279.0,230.0,1,True,15.9,19.1,74.0,False,3.4,8.0
2025,Australian Grand Prix,GAS,Alpine,8.0,4.0,INTERMEDIATE,8.0,98.441,35.761,20.439,42.241,252.0,303.0,277.0,232.0,1,True,15.9,19.1,74.0,False,3.4,9.0
2025,Australian Grand Prix,ALO,Aston Martin,8.0,4.0,INTERMEDIATE,8.0,98.354,35.634,20.573,42.147,253.0,300.0,278.0,225.0,1,True,15.9,19.1,74.0,False,3.4,10.0
2025,Australian Grand Prix,STR,Aston Martin,8.0,4.0,INTERMEDIATE,4.0,98.664,36.07,20.699,41.895,253.0,298.0,277.0,233.0,1,True,15.9,19.1,74.0,False,3.4,11.0
2025,Australian Grand Prix,HUL,Kick Sauber,8.0,4.0,INTERMEDIATE,8.0,98.959,36.183,20.258,42.518,254.0,289.0,279.0,230.0,1,True,15.9,19.1,74.0,False,3.4,12.0
2025,Australian Grand Prix,ANT,Mercedes,8.0,4.0,INTERMEDIATE,8.0,98.729,35.912,20.482,42.335,254.0,309.0,280.0,240.0,1,True,15.9,19.1,74.0,False,3.4,13.0
2025,Australian Grand Prix,BOR,Kick Sauber,8.0,4.0,INTERMEDIATE,8.0,100.265,36.126,20.871,43.268,250.0,302.0,277.0,242.0,1,True,15.9,19.1,74.0,False,3.4,14.0
2025,Australian Grand Prix,OCO,Haas F1 Team,8.0,4.0,INTERMEDIATE,4.0,100.522,36.515,20.724,43.283,243.0,296.0,277.0,217.0,1,True,15.9,19.1,74.0,False,3.4,15.0
2025,Australian Grand Prix,LAW,Red Bull Racing,8.0,4.0,INTERMEDIATE,7.0,100.582,36.302,20.823,43.457,249.0,298.0,276.0,230.0,1,True,15.9,19.1,74.0,False,3.4,16.0
2025,Australian Grand Prix,BEA,Haas F1 Team,8.0,4.0,INTERMEDIATE,4.0,102.054,36.361,21.757,43.936,244.0,289.0,274.0,218.0,1,True,15.9,19.1,74.0,False,3.4,17.0
2025,Australian Grand Prix,NOR,McLaren,9.0,4.0,INTERMEDIATE,9.0,94.638,34.182,19.932,40.524,255.0,290.0,279.0,281.0,1,True,15.9,19.1,74.0,False,4.1,1.0
2025,Australian Grand Prix,VER,Red Bull Racing,9.0,4.0,INTERMEDIATE,9.0,94.315,33.85,19.608,40.857,257.0,301.0,279.0,258.0,1,True,15.9,19.1,74.0,False,4.1,2.0
2025,Australian Grand Prix,PIA,McLaren,9.0,4.0,INTERMEDIATE,9.0,94.578,34.085,19.805,40.688,256.0,293.0,281.0,273.0,1,True,15.9,19.1,74.0,False,4.1,3.0
2025,Australian Grand Prix,RUS,Mercedes,9.0,4.0,INTERMEDIATE,9.0,94.873,34.074,19.847,40.952,259.0,302.0,281.0,269.0,1,True,15.9,19.1,74.0,False,4.1,4.0
