Year,GrandPrix,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Position
2025,British Grand Prix,VER,Red Bull Racing,1.0,1.0,INTERMEDIATE,1.0,105.82,,41.707,28.921,299.0,242.0,216.0,304.0,12,False,18.5,24.5,82.0,False,1.0,1.0
2025,British Grand Prix,PIA,McLaren,1.0,1.0,INTERMEDIATE,1.0,106.554,,41.49,28.951,298.0,243.0,210.0,298.0,12,False,18.5,24.5,82.0,False,1.0,2.0
2025,British Grand Prix,NOR,McLaren,1.0,1.0,INTERMEDIATE,1.0,108.196,,42.322,29.525,295.0,231.0,214.0,299.0,12,False,18.5,24.5,82.0,False,1.0,3.0
2025,British Grand Prix,HAM,Ferrari,1.0,1.0,INTERMEDIATE,1.0,108.827,,42.254,29.916,291.0,240.0,201.0,309.0,12,False,18.5,24.5,82.0,False,1.0,4.0
2025,British Grand Prix,GAS,Alpine,1.0,1.0,INTERMEDIATE,1.0,109.058,,42.619,29.224,297.0,240.0,204.0,306.0,12,False,18.5,24.5,82.0,False,1.0,5.0
2025,British Grand Prix,ALO,Aston Martin,1.0,1.0,INTERMEDIATE,1.0,110.468,,43.067,29.963,288.0,233.0,205.0,294.0,12,False,18.5,24.5,82.0,False,1.0,6.0
2025,British Grand Prix,SAI,Williams,1.0,1.0,INTERMEDIATE,1.0,111.254,,43.19,30.173,288.0,240.0,199.0,307.0,12,False,18.5,24.5,82.0,False,1.0,7.0
2025,British Grand Prix,ANT,Mercedes,1.0,1.0,INTERMEDIATE,1.0,111.613,,42.82,30.063,299.0,240.0,198.0,308.0,12,False,18.5,24.5,82.0,False,1.0,8.0
2025,British Grand Prix,ALB,Williams,1.0,1.0,INTERMEDIATE,1.0,112.18,,43.343,30.001,287.0,241.0,205.0,302.0,12,False,18.5,24.5,82.0,False,1.0,9.0
2025,British Grand Prix,TSU,Red Bull Racing,1.0,1.0,INTERMEDIATE,1.0,112.897,,42.999,29.852,293.0,242.0,208.0,308.0,12,False,18.5,24.5,82.0,False,1.0,10.0
